!SESSION 2024-12-08 17:41:05.198 -----------------------------------------------
eclipse.buildId=2022.2
java.version=11.0.11
java.vendor=Oracle Corporation
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_US
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -data C:\Users\Warre\lab_6.2\workspace

This is a continuation of log file C:\Users\Warre\lab_6.2\workspace\.metadata\.bak_1.log
Created Time: 2024-12-09 01:53:00.458

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 01:53:00.458
!MESSAGE XSCT Command: [::hsi::utils::get_addr_ranges -json C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa microblaze_0], Thread: Worker-194: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 01:53:00.461
!MESSAGE XSCT command with result: [::hsi::utils::get_addr_ranges -json C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa microblaze_0], Result: [null, {"gpio_usb_int_S_AXI": {"name": "gpio_usb_int",
	at org.eclipse.tcf.core.AbstractChannel$1$1.run(AbstractChannel.java:371)
	at org.eclipse.tcf.EventQueue.run(EventQueue.java:98)
	at java.base/java.lang.Thread.run(Thread.java:829)

!ENTRY org.eclipse.tcf 4 0 2024-12-09 16:35:44.774
!MESSAGE Invalid peerAdded event
!STACK 0
java.lang.Error
	at org.eclipse.tcf.internal.services.remote.LocatorProxy$1.event(LocatorProxy.java:64)
	at org.eclipse.tcf.core.AbstractChannel.handleInput(AbstractChannel.java:1191)
	at org.eclipse.tcf.core.AbstractChannel$1$1.run(AbstractChannel.java:371)
	at org.eclipse.tcf.EventQueue.run(EventQueue.java:98)
	at java.base/java.lang.Thread.run(Thread.java:829)

!ENTRY org.eclipse.tcf 4 0 2024-12-09 16:35:44.774
!MESSAGE Invalid peerAdded event
!STACK 0
java.lang.Error
	at org.eclipse.tcf.internal.services.remote.LocatorProxy$1.event(LocatorProxy.java:64)
	at org.eclipse.tcf.core.AbstractChannel.handleInput(AbstractChannel.java:1191)
	at org.eclipse.tcf.core.AbstractChannel$1$1.run(AbstractChannel.java:371)
	at org.eclipse.tcf.EventQueue.run(EventQueue.java:98)
	at java.base/java.lang.Thread.run(Thread.java:829)

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.775
!MESSAGE XSCT command with result: [connect -url tcp:127.0.0.1:3121], Result: [null, tcfchan#55]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY org.eclipse.tcf 4 0 2024-12-09 16:35:44.775
!MESSAGE Invalid peerAdded event
!STACK 0
java.lang.Error
	at org.eclipse.tcf.internal.services.remote.LocatorProxy$1.event(LocatorProxy.java:64)
	at org.eclipse.tcf.core.AbstractChannel.handleInput(AbstractChannel.java:1191)
	at org.eclipse.tcf.core.AbstractChannel$1$1.run(AbstractChannel.java:371)
	at org.eclipse.tcf.EventQueue.run(EventQueue.java:98)
	at java.base/java.lang.Thread.run(Thread.java:829)

!ENTRY org.eclipse.tcf 4 0 2024-12-09 16:35:44.775
!MESSAGE Invalid peerAdded event
!STACK 0
java.lang.Error
	at org.eclipse.tcf.internal.services.remote.LocatorProxy$1.event(LocatorProxy.java:64)
	at org.eclipse.tcf.core.AbstractChannel.handleInput(AbstractChannel.java:1191)
	at org.eclipse.tcf.core.AbstractChannel$1$1.run(AbstractChannel.java:371)
	at org.eclipse.tcf.EventQueue.run(EventQueue.java:98)
	at java.base/java.lang.Thread.run(Thread.java:829)

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.775
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY org.eclipse.tcf 4 0 2024-12-09 16:35:44.776
!MESSAGE Invalid peerAdded event
!STACK 0
java.lang.Error
	at org.eclipse.tcf.internal.services.remote.LocatorProxy$1.event(LocatorProxy.java:64)
	at org.eclipse.tcf.core.AbstractChannel.handleInput(AbstractChannel.java:1191)
	at org.eclipse.tcf.core.AbstractChannel$1$1.run(AbstractChannel.java:371)
	at org.eclipse.tcf.EventQueue.run(EventQueue.java:98)
	at java.base/java.lang.Thread.run(Thread.java:829)

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.779
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* RealDigital Boo 887100000003A]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.780
!MESSAGE XSCT Command: [version -server], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.780
!MESSAGE XSCT command with result: [version -server], Result: [null, 2022.2]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.780
!MESSAGE XSCT Command: [version], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.781
!MESSAGE XSCT command with result: [version], Result: [null, xsct 2022.2.0
SW Build 0 on 2022-10-13-12:09:39
Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.781
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.783
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* RealDigital Boo 887100000003A]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.785
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.792
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.793
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.795
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* RealDigital Boo 887100000003A]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.796
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.803
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.803
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.806
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* RealDigital Boo 887100000003A]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.806
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.814
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.814
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.816
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* RealDigital Boo 887100000003A]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.818
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.825
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.825
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.828
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* RealDigital Boo 887100000003A]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.828
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.835
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.837
!MESSAGE XSCT Command: [jtag targets -set -filter {name =~ "RealDigital Boo 887100000003A" && level == 0}], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.844
!MESSAGE XSCT command with result: [jtag targets -set -filter {name =~ "RealDigital Boo 887100000003A" && level == 0}], Result: [null, ]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.845
!MESSAGE XSCT Command: [jtag frequency], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.846
!MESSAGE XSCT command with result: [jtag frequency], Result: [null, 15000000]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.846
!MESSAGE XSCT Command: [::hsi::utils::get_clock_info -json C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa microblaze_0], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.846
!MESSAGE XSCT command with result: [::hsi::utils::get_clock_info -json C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa microblaze_0], Result: [null, {"Clk": "100000000",
"Dbg_Clk": "",
}]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.856
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.860
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* RealDigital Boo 887100000003A]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.860
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.868
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.868
!MESSAGE XSCT Command: [targets -set -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==0 && jtag_device_ctx=="jsn1-0362f093-0"}], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.881
!MESSAGE XSCT command with result: [targets -set -filter {jtag_cable_name =~ "RealDigital Boo 887100000003A" && level==0 && jtag_device_ctx=="jsn1-0362f093-0"}], Result: [null, ]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:44.881
!MESSAGE XSCT Command: [fpga -file C:/Users/Warre/lab_6.2/workspace/mb_usb/_ide/bitstream/mb_usb_hdmi_top.bit], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.151
!MESSAGE XSCT command with result: [fpga -file C:/Users/Warre/lab_6.2/workspace/mb_usb/_ide/bitstream/mb_usb_hdmi_top.bit], Result: [null, ]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.178
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.251
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Result: [null, ]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.251
!MESSAGE XSCT Command: [loadhw -hw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa -regs], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.284
!MESSAGE XSCT command with result: [loadhw -hw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa -regs], Result: [null, mb_final_top_67]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.285
!MESSAGE XSCT Command: [configparams mdm-detect-bscan-mask 2], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.286
!MESSAGE XSCT command with result: [configparams mdm-detect-bscan-mask 2], Result: [null, ]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.286
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.295
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Result: [null, ]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.295
!MESSAGE XSCT Command: [rst -system], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.310
!MESSAGE XSCT command with result: [rst -system], Result: [null, ]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:46.310
!MESSAGE XSCT Command: [after 3000], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:49.313
!MESSAGE XSCT command with result: [after 3000], Result: [null, ]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:49.314
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:49.383
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Result: [null, ]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:49.383
!MESSAGE XSCT Command: [dow C:/Users/Warre/lab_6.2/workspace/mb_usb/Debug/mb_usb.elf], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:49.493
!MESSAGE XSCT command with result: [dow C:/Users/Warre/lab_6.2/workspace/mb_usb/Debug/mb_usb.elf], Result: [null, ]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:49.503
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:49.511
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Result: [null, ]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:49.512
!MESSAGE XSCT Command: [con], Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:49.519
!MESSAGE XSCT command with result: [con], Result: [null, ]. Thread: Worker-342: Launching Debugger_mb_usb-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:49.532
!MESSAGE XSCT Command: [disconnect tcfchan#55], Thread: Thread-1386

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 16:35:49.533
!MESSAGE XSCT command with result: [disconnect tcfchan#55], Result: [null, ]. Thread: Thread-1386

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:30.564
!MESSAGE XSCT Command: [platform read {C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/platform.spr}], Thread: Worker-386: Reading platform

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:30.711
!MESSAGE XSCT command with result: [platform read {C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/platform.spr}], Result: [null, ]. Thread: Worker-386: Reading platform

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:32.306
!MESSAGE XSCT Command: [platform config -updatehw {C:/Users/Warre/fireboy_watergirl_final_project/mb_usb_hdmi_top.xsa}], Thread: Worker-387: Updating hardware platform

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:32.575
!MESSAGE XSCT command with result: [platform config -updatehw {C:/Users/Warre/fireboy_watergirl_final_project/mb_usb_hdmi_top.xsa}], Result: [null, ]. Thread: Worker-387: Updating hardware platform

!ENTRY com.xilinx.sdk.utils 1 0 2024-12-09 18:10:41.556
!MESSAGE Tool usage for 'SDX_NO_OP_BUILD' updated to '35'

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:44.540
!MESSAGE XSCT Command: [::hsi::utils::closehw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:44.543
!MESSAGE XSCT command with result: [::hsi::utils::closehw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Result: [null, ]. Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:44.543
!MESSAGE XSCT Command: [::hsi::utils::openhw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:44.660
!MESSAGE XSCT command with result: [::hsi::utils::openhw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Result: [null, ]. Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:44.660
!MESSAGE XSCT Command: [ ::hsi::utils::set_current_hw_sw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss ], Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:44.664
!MESSAGE XSCT command with result: [ ::hsi::utils::set_current_hw_sw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss ], Result: [null, ]. Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:44.664
!MESSAGE XSCT Command: [::hsi::utils::get_hw_sw_details -json C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss], Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:44.666
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_sw_details -json C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss], Result: [null, {"procname": "microblaze_0",
"osname": "standalone",
"osver": "8.0",
}]. Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 1 0 2024-12-09 18:10:44.666
!MESSAGE Generating MD5 hash for file: C:\Users\Warre\lab_6.2\workspace\mb_usb_hdmi_top\export\mb_usb_hdmi_top\sw\mb_usb_hdmi_top\standalone_microblaze_0\system.mss ...

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:44.666
!MESSAGE XSCT Command: [::hsi::utils::closesw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss], Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:44.667
!MESSAGE XSCT command with result: [::hsi::utils::closesw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss], Result: [null, ]. Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:45.886
!MESSAGE XSCT Command: [::hsi::utils::openhw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:45.887
!MESSAGE XSCT command with result: [::hsi::utils::openhw C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Result: [null, ]. Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:45.888
!MESSAGE XSCT Command: [hsi::internal::extract_hw_files -quiet bit mmi bmm -dir {C:\Users\Warre\lab_6.2\workspace\mb_usb\_ide\bitstream}], Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:45.906
!MESSAGE XSCT command with result: [hsi::internal::extract_hw_files -quiet bit mmi bmm -dir {C:\Users\Warre\lab_6.2\workspace\mb_usb\_ide\bitstream}], Result: [null, ]. Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:45.906
!MESSAGE XSCT Command: [::hsi::utils::get_design_properties -json C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:45.908
!MESSAGE XSCT command with result: [::hsi::utils::get_design_properties -json C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Result: [null, {"device": "7s50",
"family": "spartan7",
"timestamp": "Wed Dec  4 18:07:14 2024",
"vivado_version": "2022.2",
"part": "xc7s50csga324-1",
}]. Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:45.908
!MESSAGE XSCT Command: [::hsi::utils::get_all_periphs -json C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Thread: Worker-385: Building Workspace

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-09 18:10:45.911
!MESSAGE XSCT command with result: [::hsi::utils::get_all_periphs -json C:/Users/Warre/lab_6.2/workspace/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Result: [null, {"axi_uartlite_0": {"hier_name": "axi_uartlite_0",
"type": "axi_uartlite",
"version": "2.0",
"ip_type": "PERIPHERAL",
},
"clk_wiz_1": {"hier_name": "clk_wiz_1",
"type": "clk_wiz",
"version": "6.0",
"ip_type": "PERIPHERAL",
},
"gpio_usb_int": {"hier_name": "gpio_usb_int",
"type": "axi_gpio",
"version": "2.0",
"ip_type": "PERIPHERAL",
},
"gpio_usb_keycode": {"hier_name": "gpio_usb_keycode",
"type": "axi_gpio",
"version": "2.0",
"ip_type": "PERIPHERAL",
},
"gpio_usb_rst": {"hier_name": "gpio_usb_rst",
"type": "axi_gpio",
"version": "2.0",
"ip_type": "PERIPHERAL",
},
